date;price;open;high;low;vol
10/09/2024;22954;22523;22975;22483;33.59M
10/10/2024;22904;22778;22950;22717;28.18M
10/11/2024;22755;22930;22941;22734;31.76M
10/14/2024;23130;22870;23173;22860;39.88M
10/15/2024;23385;23361;23749;23237;64.75M
10/16/2024;23178;23160;23212;22984;34.08M
10/17/2024;23215;23343;23385;23052;32.99M
10/18/2024;23500;23618;23618;23401;46.43M
10/21/2024;23648;23445;23685;23445;36.25M
10/22/2024;23586;23388;23622;23260;38.85M
10/23/2024;23076;23408;23514;22776;52.29M
10/24/2024;23057;22998;23082;22841;31.11M
10/25/2024;23141;22974;23322;22957;38.80M
10/28/2024;23340;23332;23473;23255;36.09M
10/29/2024;23367;23310;23432;23232;35.42M
10/30/2024;23010;23261;23347;22955;47.07M
10/31/2024;22591;22934;22983;22537;64.37M
11/01/2024;22291;22096;22535;22027;65.28M
11/04/2024;22201;22099;22279;21971;44.94M
11/05/2024;22345;22179;22395;22114;28.11M
11/06/2024;22272;22261;22607;22119;54.56M
11/07/2024;22748;22463;22788;22457;42.14M
11/08/2024;22696;22717;22866;22640;38.33M
11/11/2024;22423;22500;22570;22150;42.01M
11/12/2024;22423;22455;22559;22335;40.40M
11/13/2024;22512;22401;22665;22276;48.57M
11/14/2024;22822;22502;22887;22500;44.92M
11/15/2024;22500;22640;22692;22427;47.92M
11/18/2024;22802;22525;22974;22517;44.69M
11/19/2024;22828;22698;23016;22666;36.21M
11/20/2024;22900;22806;22993;22589;35.17M
11/21/2024;22852;22888;23015;22571;42.11M
11/22/2024;22987;22806;23072;22806;38.17M
11/25/2024;23287;23146;23324;22974;90.15M
11/26/2024;23506;23333;23557;23333;45.99M
11/27/2024;23493;23446;23569;23381;33.50M
11/29/2024;23733;23480;23781;23397;28.48M
12/02/2024;23959;23727;24079;23716;48.14M
12/03/2024;24265;23981;24276;23890;38.86M
12/04/2024;24301;24287;24411;24125;44.38M
12/05/2024;24304;24399;24454;24213;40.03M
12/06/2024;24284;24290;24463;24208;36.87M
12/09/2024;24675;24183;24724;24175;44.65M
12/10/2024;24777;24689;24821;24534;36.91M
12/11/2024;24649;24796;25080;24626;45.21M
12/12/2024;24796;24689;24874;24568;32.78M
12/13/2024;24813;24782;24929;24624;33.16M
12/16/2024;25104;24799;25138;24765;51.69M
12/17/2024;25348;25008;25383;24978;51.36M
12/18/2024;24805;25216;25428;24774;56.77M
12/19/2024;24979;24750;25200;24709;60.88M
12/20/2024;25449;24804;25500;24569;147.50M
12/23/2024;25527;25477;25565;25345;40.86M
12/24/2024;25820;25549;25821;25529;23.23M
12/26/2024;25902;25819;26010;25763;27.26M
12/27/2024;25559;25783;25870;25306;42.36M
12/30/2024;25220;25223;25350;25075;35.56M
12/31/2024;25042;25244;25328;24943;39.48M
